class_id,class_school,class_city,class_grade_inferred,class_total_missions,class_total_tasks,class_total_students,class_first_activity_date,class_last_activity_date,class_avg_quiz_seconds_taken,class_has_multi_week_activity,class_avg_completion_rate,class_distinct_task_names_by_id,class_peak_activity_slot,class_peak_activity_slot_customized,group_grade_inferred,group_task_name,group_total_students,group_total_missions,cutomized_slot_and_student
class_75,縣立竹崎國小,嘉義縣,3.0,1,1,21,2025-03-06 03:42:00.000000 UTC,2025-03-06 03:42:00.000000 UTC,25.2344827586207,False,0.952380952380952,三上［認識分數],上課時間,During Class,Grade 3,Grade 3,21+,1-1.99,During Class_21+
class_76,縣立民和國中,南投縣,7.0,3,3,21,2025-05-21 07:41:00.000000 UTC,2025-05-21 07:42:00.000000 UTC,35.7489768076398,False,0.698412698412698,三上［認識分數]&四上［同分母分數的比較］&四上［同分母分數加減］,課後輔導,After-school Tutoring,Grade 7,Grade 3 + Grade 4 Combo (Comparison + Add/Sub),21+,3-3.99,After-school Tutoring_21+
class_78,縣立柳林國小,嘉義縣,3.0,1,1,20,2025-02-11 01:52:00.000000 UTC,2025-02-11 01:59:00.000000 UTC,28.0771929824561,False,0.85,三上［認識分數],上課時間,During Class,Grade 3,Grade 3,11-20,1-1.99,During Class_11-20
class_79,縣立成功國小,臺東縣,4.0,2,2,20,2025-02-19 08:11:00.000000 UTC,2025-02-19 08:12:00.000000 UTC,34.6484375,False,0.8,四上［同分母分數的比較］&四上［同分母分數加減］,上課時間,During Class,Grade 4,Grade 4 Combo (Comparison + Add/Sub),11-20,2-2.99,During Class_11-20
class_80,楊梅國中秀才分校,桃園市,5.0,1,1,20,2025-02-24 05:40:00.000000 UTC,2025-02-24 05:40:00.000000 UTC,30.2207792207792,False,0.3,五上［異分母分數的比較與加減］,上課時間,During Class,Grade 5,Grade 5,11-20,1-1.99,During Class_11-20
class_81,市立岸裡國小,臺中市,5.0,1,1,20,2025-04-15 11:50:00.000000 UTC,2025-04-15 11:50:00.000000 UTC,8.44444444444444,False,0.05,五上［異分母分數的比較與加減］,放學後,Others,Grade 5,Grade 5,11-20,1-1.99,Others_11-20
class_85,市立烏來國(中)小,新北市,5.0,1,1,19,2025-02-20 07:59:00.000000 UTC,2025-02-20 23:50:00.000000 UTC,58.6027397260274,False,0.947368421052631,五上［異分母分數的比較與加減］,早自習,Morning Self-study,Grade 5,Grade 5,11-20,1-1.99,Morning Self-study_11-20
class_86,縣立利澤國小,宜蘭縣,5.0,2,2,19,2025-02-27 00:15:00.000000 UTC,2025-02-27 07:45:00.000000 UTC,24.4379457917261,False,0.921052631578947,四上［同分母分數的比較］&四上［同分母分數加減］,早自習,Morning Self-study,Grade 5,Grade 4 Combo (Comparison + Add/Sub),11-20,2-2.99,Morning Self-study_11-20
class_87,縣立五結國小,宜蘭縣,4.0,2,2,19,2025-03-14 07:40:00.000000 UTC,2025-03-20 05:26:00.000000 UTC,47.73372287145249,True,1.0,四上［同分母分數的比較］&四上［同分母分數加減］,上課時間,During Class,Grade 4,Grade 4 Combo (Comparison + Add/Sub),11-20,2-2.99,During Class_11-20
class_88,,屏東縣,3.0,1,1,19,2025-03-25 02:03:00.000000 UTC,2025-06-06 03:33:00.000000 UTC,24.6145251396648,True,0.947368421052631,三上［認識分數],上課時間,During Class,Grade 3,Grade 3,11-20,1-1.99,During Class_11-20
class_89,縣立古亭國小,宜蘭縣,4.0,1,1,19,2025-04-30 03:33:00.000000 UTC,2025-04-30 03:33:00.000000 UTC,16.05,False,0.0526315789473684,四上［同分母分數的比較］,上課時間,During Class,Grade 4,Grade 4 (Comparison),11-20,1-1.99,During Class_11-20
class_94,縣立武淵國小,宜蘭縣,5.0,1,1,17,2025-02-27 00:32:00.000000 UTC,2025-02-27 00:32:00.000000 UTC,60.0802005012531,False,0.941176470588235,五上［異分母分數的比較與加減］,上課時間,During Class,Grade 5,Grade 5,11-20,1-1.99,During Class_11-20
class_95,楊梅國中秀才分校,桃園市,4.0,3,3,17,2025-03-20 06:52:00.000000 UTC,2025-04-15 07:42:00.000000 UTC,31.5192307692308,True,0.0196078431372549,三上［認識分數]&四上［同分母分數的比較］&四上［同分母分數加減］,上課時間,During Class,Grade 4,Grade 3 + Grade 4 Combo (Comparison + Add/Sub),11-20,3-3.99,During Class_11-20
class_96,市立重溪國小,臺南市,3.0,1,1,17,2025-05-13 01:14:00.000000 UTC,2025-05-13 02:00:00.000000 UTC,24.0696517412935,False,0.88235294117647,三上［認識分數],上課時間,During Class,Grade 3,Grade 3,11-20,1-1.99,During Class_11-20
class_97,,高雄市,1.0,2,2,16,2025-02-05 03:42:00.000000 UTC,2025-03-03 01:24:00.000000 UTC,5.769230769230769,True,0.105263157894737,四上［同分母分數的比較］&五上［異分母分數的比較與加減］,課後輔導,After-school Tutoring,Grade 1,Grade 4 (Comparison) + Grade 5,11-20,2-2.99,After-school Tutoring_11-20
class_98,縣立四季國小,宜蘭縣,3.0,1,1,16,2025-02-13 05:01:00.000000 UTC,2025-02-25 07:49:00.000000 UTC,13.2128378378378,True,0.9375,三上［認識分數],上課時間,During Class,Grade 3,Grade 3,11-20,1-1.99,During Class_11-20
class_99,縣立人文國中(小),宜蘭縣,3.0,3,2,16,2025-02-20 02:52:00.000000 UTC,2025-02-27 03:22:00.000000 UTC,33.3279569892473,True,0.75,三上［認識分數]&四上［同分母分數的比較］,上課時間,During Class,Grade 3,Grade 3 + Grade 4 (Comparison),11-20,3-3.99,During Class_11-20
class_101,縣立人文國中(小),宜蘭縣,4.0,2,2,15,2025-05-12 02:43:00.000000 UTC,2025-05-26 02:53:00.000000 UTC,29.5911111111111,True,0.866666666666667,三上［認識分數]&四上［同分母分數的比較］,上課時間,During Class,Grade 4,Grade 3 + Grade 4 (Comparison),11-20,2-2.99,During Class_11-20
class_102,市立宣信國小,嘉義市,4.0,1,1,15,2025-05-19 08:24:00.000000 UTC,2025-05-19 08:24:00.000000 UTC,46.48,False,0.333333333333333,四上［同分母分數的比較］,課後輔導,After-school Tutoring,Grade 4,Grade 4 (Comparison),11-20,1-1.99,After-school Tutoring_11-20
class_103,縣立豐年國小,臺東縣,4.0,3,3,15,2025-05-29 00:03:00.000000 UTC,2025-05-31 09:54:00.000000 UTC,49.737909516380704,False,0.813953488372093,三上［認識分數]&四上［同分母分數的比較］&四上［同分母分數加減］,上課時間,During Class,Grade 4,Grade 3 + Grade 4 Combo (Comparison + Add/Sub),11-20,3-3.99,During Class_11-20
class_104,市立鹽水國小,臺南市,5.0,2,1,14,2025-02-09 23:37:00.000000 UTC,2025-02-27 08:18:00.000000 UTC,,True,0.0,五上［異分母分數的比較與加減］,無資料,Others,Grade 5,Grade 5,11-20,2-2.99,Others_11-20
class_105,縣立海埔國小,彰化縣,6.0,1,1,14,2025-02-14 02:30:00.000000 UTC,2025-02-14 02:30:00.000000 UTC,42.675958188153295,False,1.0,五上［異分母分數的比較與加減］,上課時間,During Class,Grade 6,Grade 5,11-20,1-1.99,During Class_11-20
class_107,縣立社口國小,嘉義縣,4.0,2,2,14,2025-03-04 00:22:00.000000 UTC,2025-03-04 01:59:00.000000 UTC,44.3568965517241,False,1.0,四上［同分母分數的比較］&四上［同分母分數加減］,上課時間,During Class,Grade 4,Grade 4 Combo (Comparison + Add/Sub),11-20,2-2.99,During Class_11-20
class_109,市立前峰國小,高雄市,6.0,1,1,13,2025-03-24 08:23:00.000000 UTC,2025-03-24 08:23:00.000000 UTC,50.981927710843294,False,0.461538461538462,五上［異分母分數的比較與加減］,課後輔導,After-school Tutoring,Grade 6,Grade 5,11-20,1-1.99,After-school Tutoring_11-20
class_110,市立銘傳國中,基隆市,5.0,4,3,12,2025-02-03 05:07:00.000000 UTC,2025-06-16 03:26:00.000000 UTC,2.77272727272727,True,0.111111111111111,三上［認識分數]&四上［同分母分數的比較］&五上［異分母分數的比較與加減］,上課時間,During Class,Grade 5,Grade 3 + Grade 4 (Comparison) + Grade 5,11-20,4+,During Class_11-20
class_111,市立深坑國小,臺南市,4.0,3,3,12,2025-02-07 05:46:00.000000 UTC,2025-02-07 05:48:00.000000 UTC,28.2155688622754,False,1.0,三上［認識分數]&四上［同分母分數的比較］&四上［同分母分數加減］,課後輔導,After-school Tutoring,Grade 4,Grade 3 + Grade 4 Combo (Comparison + Add/Sub),11-20,3-3.99,After-school Tutoring_11-20
class_112,市立潛龍國小,桃園市,3.0,1,1,12,2025-02-09 14:45:00.000000 UTC,2025-02-25 05:45:00.000000 UTC,48.5636363636364,True,0.916666666666667,三上［認識分數],課後輔導,After-school Tutoring,Grade 3,Grade 3,11-20,1-1.99,After-school Tutoring_11-20
class_113,市立鎮海國小,臺南市,6.0,1,1,12,2025-02-11 08:30:00.000000 UTC,2025-02-13 06:59:00.000000 UTC,32.36,False,0.0833333333333333,五上［異分母分數的比較與加減］,課後輔導,After-school Tutoring,Grade 6,Grade 5,11-20,1-1.99,After-school Tutoring_11-20
class_114,縣立樟湖生態國(中)小,雲林縣,3.0,2,1,12,2025-02-12 15:19:00.000000 UTC,2025-02-13 03:34:00.000000 UTC,24.1705882352941,False,0.933333333333333,三上［認識分數],上課時間,During Class,Grade 3,Grade 3,11-20,2-2.99,During Class_11-20
class_115,市立大潭國小,桃園市,3.0,1,1,12,2025-02-18 06:22:00.000000 UTC,2025-02-18 06:22:00.000000 UTC,49.2,False,0.916666666666667,三上［認識分數],上課時間,During Class,Grade 3,Grade 3,11-20,1-1.99,During Class_11-20
class_117,市立修德國小,新北市,4.0,3,2,12,2025-03-18 06:52:00.000000 UTC,2025-06-05 07:55:00.000000 UTC,25.8826815642458,True,0.310344827586207,四上［同分母分數的比較］&四上［同分母分數加減］,課後輔導,After-school Tutoring,Grade 4,Grade 4 Combo (Comparison + Add/Sub),11-20,3-3.99,After-school Tutoring_11-20
class_118,楊梅國中秀才分校,桃園市,4.0,2,2,12,2025-03-18 23:53:00.000000 UTC,2025-03-20 00:29:00.000000 UTC,42.2625,False,1.0,四上［同分母分數的比較］&四上［同分母分數加減］,早自習,Morning Self-study,Grade 4,Grade 4 Combo (Comparison + Add/Sub),11-20,2-2.99,Morning Self-study_11-20
class_119,市立建德國小,桃園市,3.0,1,1,12,2025-04-27 23:48:00.000000 UTC,2025-04-30 00:06:00.000000 UTC,24.3984962406015,True,0.666666666666667,三上［認識分數],早自習,Morning Self-study,Grade 3,Grade 3,11-20,1-1.99,Morning Self-study_11-20
class_120,,臺北市,5.0,1,1,12,2025-05-01 22:25:00.000000 UTC,2025-05-01 22:25:00.000000 UTC,8.93333333333333,False,0.0833333333333333,三上［認識分數],學前,Others,Grade 5,Grade 3,11-20,1-1.99,Others_11-20
class_124,市立崑山國小,臺南市,6.0,1,1,11,2025-02-17 07:21:00.000000 UTC,2025-02-17 07:21:00.000000 UTC,47.6240875912409,False,1.0,五上［異分母分數的比較與加減］,課後輔導,After-school Tutoring,Grade 6,Grade 5,11-20,1-1.99,After-school Tutoring_11-20
class_127,縣立東衛國小,澎湖縣,3.0,1,1,11,2025-05-16 05:57:00.000000 UTC,2025-05-16 05:57:00.000000 UTC,,False,0.0,三上［認識分數],無資料,Others,Grade 3,Grade 3,11-20,1-1.99,Others_11-20
class_128,市立中芸國小,高雄市,6.0,1,1,11,2025-05-28 03:43:00.000000 UTC,2025-05-28 03:43:00.000000 UTC,80.3333333333333,False,0.0,四上［同分母分數的比較］,無資料,Others,Grade 6,Grade 4 (Comparison),11-20,1-1.99,Others_11-20
class_131,市立三重國小,新北市,4.0,1,1,10,2025-02-13 07:35:00.000000 UTC,2025-02-13 08:41:00.000000 UTC,50.285714285714306,False,0.5,四上［同分母分數加減］,課後輔導,After-school Tutoring,Grade 4,Grade 4 (Add/Sub),6-10,1-1.99,After-school Tutoring_6-10
class_132,縣立清溝國小,宜蘭縣,5.0,2,1,10,2025-02-17 00:57:00.000000 UTC,2025-02-20 08:26:00.000000 UTC,71.3726708074535,False,0.631578947368421,五上［異分母分數的比較與加減］,課後輔導,After-school Tutoring,Grade 5,Grade 5,6-10,2-2.99,After-school Tutoring_6-10
class_134,市立龍潭國小,臺南市,6.0,3,3,10,2025-03-03 11:55:00.000000 UTC,2025-03-17 11:59:00.000000 UTC,23.6832460732984,True,0.7,三上［認識分數]&四上［同分母分數的比較］&四上［同分母分數加減］,課後輔導,After-school Tutoring,Grade 6,Grade 3 + Grade 4 Combo (Comparison + Add/Sub),6-10,3-3.99,After-school Tutoring_6-10
class_136,市立忠義國小,新北市,5.0,1,1,10,2025-03-13 08:16:00.000000 UTC,2025-03-13 08:16:00.000000 UTC,49.32,False,0.5,五上［異分母分數的比較與加減］,課後輔導,After-school Tutoring,Grade 5,Grade 5,6-10,1-1.99,After-school Tutoring_6-10
class_137,縣立壯圍國小,宜蘭縣,4.0,1,1,10,2025-03-13 08:17:00.000000 UTC,2025-03-13 08:18:00.000000 UTC,75.6280991735537,False,0.9,五上［異分母分數的比較與加減］,課後輔導,After-school Tutoring,Grade 4,Grade 5,6-10,1-1.99,After-school Tutoring_6-10
class_139,私立上智國小,新竹縣,7.0,1,1,10,2025-03-28 04:40:00.000000 UTC,2025-03-28 04:40:00.000000 UTC,27.5,False,0.0,五上［異分母分數的比較與加減］,無資料,Others,Grade 7,Grade 5,6-10,1-1.99,Others_6-10
class_141,市立東陽國小,臺南市,3.0,1,1,10,2025-04-16 05:40:00.000000 UTC,2025-04-16 05:41:00.000000 UTC,17.4137931034483,False,0.7,三上［認識分數],上課時間,During Class,Grade 3,Grade 3,6-10,1-1.99,During Class_6-10
class_145,縣立信義國小,南投縣,5.0,1,1,9,2025-02-17 06:23:00.000000 UTC,2025-02-17 07:45:00.000000 UTC,197.404,False,1.0,五上［異分母分數的比較與加減］,上課時間,During Class,Grade 5,Grade 5,6-10,1-1.99,During Class_6-10
class_146,市立忠山實驗小學,新北市,4.0,1,1,9,2025-02-19 04:51:00.000000 UTC,2025-02-19 04:51:00.000000 UTC,38.1777777777778,False,1.0,四上［同分母分數的比較］,課後輔導,After-school Tutoring,Grade 4,Grade 4 (Comparison),6-10,1-1.99,After-school Tutoring_6-10
class_147,市立新市國小,臺南市,4.0,1,1,9,2025-02-19 07:24:00.000000 UTC,2025-02-19 07:24:00.000000 UTC,46.15,False,1.0,四上［同分母分數的比較］,上課時間,During Class,Grade 4,Grade 4 (Comparison),6-10,1-1.99,During Class_6-10
class_148,縣立富世國小,花蓮縣,5.0,1,1,9,2025-02-25 07:15:00.000000 UTC,2025-02-25 08:12:00.000000 UTC,66.5333333333333,False,0.888888888888889,五上［異分母分數的比較與加減］,課後輔導,After-school Tutoring,Grade 5,Grade 5,6-10,1-1.99,After-school Tutoring_6-10
